"id","c_fraccionarancelaria","descripcion"
"catalogos_fraccionarancelaria1","0101210100","Reproductores de raza pura"
"catalogos_fraccionarancelaria2","0101290200","Sin pedigree para reproducción"
"catalogos_fraccionarancelaria3","0101290300","Para abasto cuando la importación la realicen empacadoras Tipo Inspección Federal"
"catalogos_fraccionarancelaria4","0101299901","Para saltos o carreras"
"catalogos_fraccionarancelaria5","0101299999","Los demás"
"catalogos_fraccionarancelaria6","0101300100","Asnos"
"catalogos_fraccionarancelaria7","0101909900","Los demás"
"catalogos_fraccionarancelaria8","0102210100","Reproductores de raza pura"
"catalogos_fraccionarancelaria9","0102290100","Vacas lecheras"
"catalogos_fraccionarancelaria10","0102290200","Con  pedigree  o  certificado  de  alto  registro,  excepto  lo  comprendido  en  la  fracción  arancelaria 0102.29.01."
"catalogos_fraccionarancelaria11","0102299900","Los demás"
"catalogos_fraccionarancelaria12","0102310100","Reproductores de raza pura"
"catalogos_fraccionarancelaria13","0102399900","Los demás"
"catalogos_fraccionarancelaria14","0102909900","Los demás"
"catalogos_fraccionarancelaria15","0103100100","Reproductores de raza pura"
"catalogos_fraccionarancelaria16","0103910100","Con pedigree o certificado de alto registro"
"catalogos_fraccionarancelaria17","0103919900","Los demás"
"catalogos_fraccionarancelaria18","0103920100","Con pedigree o certificado de alto registro"
"catalogos_fraccionarancelaria19","0103929900","Los demás"
"catalogos_fraccionarancelaria20","0104100100","Con pedigree o certificado de alto registro"
"catalogos_fraccionarancelaria21","0104109901","Para abasto"
"catalogos_fraccionarancelaria22","0104109999","Los demás"
"catalogos_fraccionarancelaria23","0104200100","Con pedigree o certificado de alto registro"
"catalogos_fraccionarancelaria24","0104200200","Borrego cimarrón"
"catalogos_fraccionarancelaria25","0104209900","Los demás"
"catalogos_fraccionarancelaria26","0105110301","Aves reproductoras de la línea de postura"
"catalogos_fraccionarancelaria27","0105110302","Aves reproductoras de la línea de engorda"
"catalogos_fraccionarancelaria28","0105110303","Aves progenitoras de la línea de engorda"
"catalogos_fraccionarancelaria29","0105110391","Las demás de postura"
"catalogos_fraccionarancelaria30","0105110392","Las demás de engorda"
"catalogos_fraccionarancelaria31","0105119900","Los demás"
"catalogos_fraccionarancelaria32","0105120100","Pavos (gallipavos)"
"catalogos_fraccionarancelaria33","0105130100","Patos"
"catalogos_fraccionarancelaria34","0105140100","Gansos"
"catalogos_fraccionarancelaria35","0105150100","Pintadas"
"catalogos_fraccionarancelaria36","0105940100","Gallos de pelea"
"catalogos_fraccionarancelaria37","0105949900","Los demás"
"catalogos_fraccionarancelaria38","0105999900","Los demás"
"catalogos_fraccionarancelaria39","0106110100","Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus"
"catalogos_fraccionarancelaria40","0106119900","Los demás"
"catalogos_fraccionarancelaria41","0106120100","Ballenas delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas leones marinos y morsas (mamíferos del suborden Pinnipedia)"
